  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 4424                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -16.750  -0.3734   0.16057   0.15414  -0.0472   1.0000   0.0902
 -16.500  -0.3746   0.15832   0.15192  -0.0468   1.0000   0.0914
 -15.000  -0.7492   0.06893   0.06131  -0.0951   0.9869   0.1215
 -14.750  -0.7222   0.06853   0.06100  -0.0962   0.9836   0.1233
 -14.500  -0.7241   0.06449   0.05685  -0.0997   0.9801   0.1253
 -14.250  -0.7428   0.05928   0.05144  -0.1027   0.9744   0.1275
 -14.000  -0.7611   0.05437   0.04622  -0.1056   0.9686   0.1298
 -13.750  -0.7542   0.05183   0.04358  -0.1078   0.9649   0.1320
 -13.500  -0.7465   0.05040   0.04217  -0.1075   0.9579   0.1339
 -13.250  -0.7368   0.04841   0.04010  -0.1089   0.9532   0.1362
 -13.000  -0.7392   0.04619   0.03772  -0.1087   0.9463   0.1387
 -12.750  -0.7428   0.04390   0.03516  -0.1084   0.9392   0.1413
 -12.500  -0.7181   0.04296   0.03431  -0.1098   0.9359   0.1437
 -12.250  -0.7165   0.04194   0.03327  -0.1076   0.9269   0.1458
 -12.000  -0.7042   0.04062   0.03184  -0.1075   0.9214   0.1487
 -11.750  -0.6958   0.03918   0.03019  -0.1069   0.9161   0.1520
 -11.500  -0.6928   0.03844   0.02945  -0.1041   0.9066   0.1542
 -11.250  -0.6716   0.03760   0.02862  -0.1042   0.9021   0.1571
 -11.000  -0.6490   0.03655   0.02748  -0.1047   0.8989   0.1609
 -10.750  -0.6609   0.03601   0.02682  -0.0989   0.8860   0.1632
 -10.500  -0.6406   0.03515   0.02593  -0.0985   0.8816   0.1665
 -10.250  -0.6146   0.03438   0.02516  -0.0989   0.8786   0.1702
 -10.000  -0.6276   0.03417   0.02489  -0.0922   0.8652   0.1724
  -9.750  -0.6104   0.03334   0.02391  -0.0909   0.8605   0.1766
