  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0024                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -17.500  -0.9276   0.09426   0.08607  -0.0498   1.0000   0.1411
 -17.250  -0.8979   0.09548   0.08742  -0.0490   1.0000   0.1429
 -17.000  -0.8929   0.09309   0.08504  -0.0497   1.0000   0.1457
 -16.750  -0.9349   0.08410   0.07579  -0.0529   1.0000   0.1497
 -16.500  -0.9599   0.07781   0.06931  -0.0548   1.0000   0.1530
 -16.250  -0.9469   0.07666   0.06822  -0.0548   1.0000   0.1556
 -16.000  -0.9510   0.07331   0.06482  -0.0556   1.0000   0.1589
 -15.750  -0.9690   0.06834   0.05965  -0.0567   1.0000   0.1625
 -15.500  -0.9729   0.06522   0.05647  -0.0570   1.0000   0.1656
 -15.250  -0.9653   0.06353   0.05481  -0.0570   1.0000   0.1686
 -15.000  -0.9680   0.06071   0.05193  -0.0571   1.0000   0.1721
 -14.750  -0.9787   0.05713   0.04818  -0.0572   1.0000   0.1760
 -14.500  -0.9736   0.05532   0.04638  -0.0569   1.0000   0.1792
 -14.250  -0.9687   0.05356   0.04463  -0.0565   1.0000   0.1826
 -14.000  -0.9705   0.05122   0.04222  -0.0560   1.0000   0.1866
 -13.750  -0.9771   0.04857   0.03941  -0.0552   1.0000   0.1907
 -13.500  -0.9672   0.04747   0.03840  -0.0544   1.0000   0.1941
 -13.250  -0.9643   0.04585   0.03677  -0.0534   1.0000   0.1980
 -13.000  -0.9659   0.04397   0.03479  -0.0520   1.0000   0.2023
 -12.750  -0.9641   0.04246   0.03325  -0.0506   1.0000   0.2063
 -12.500  -0.9589   0.04133   0.03217  -0.0490   1.0000   0.2102
 -12.250  -0.9584   0.04000   0.03082  -0.0470   1.0000   0.2145
 -12.000  -0.9614   0.03860   0.02930  -0.0446   1.0000   0.2190
 -11.750  -0.9575   0.03771   0.02849  -0.0423   1.0000   0.2229
 -11.500  -0.9573   0.03679   0.02759  -0.0395   1.0000   0.2270
 -11.250  -0.9603   0.03582   0.02659  -0.0363   1.0000   0.2315
 -11.000  -0.9653   0.03491   0.02561  -0.0326   1.0000   0.2359
 -10.750  -0.9656   0.03432   0.02511  -0.0291   1.0000   0.2397
 -10.500  -0.9713   0.03369   0.02449  -0.0249   1.0000   0.2438
 -10.250  -0.9797   0.03308   0.02384  -0.0201   1.0000   0.2482
 -10.000  -0.9895   0.03253   0.02324  -0.0150   1.0000   0.2524
  -9.750  -0.9750   0.03194   0.02273  -0.0140   0.9965   0.2574
  -9.500  -0.9485   0.03120   0.02194  -0.0154   0.9906   0.2648
  -9.250  -0.9232   0.03048   0.02120  -0.0163   0.9830   0.2715
  -9.000  -0.8944   0.02986   0.02061  -0.0177   0.9769   0.2787
  -8.750  -0.8727   0.02920   0.01983  -0.0177   0.9678   0.2864
  -8.500  -0.8416   0.02866   0.01939  -0.0192   0.9616   0.2933
  -8.250  -0.8192   0.02811   0.01880  -0.0191   0.9523   0.3011
  -8.000  -0.7894   0.02755   0.01826  -0.0202   0.9452   0.3087
  -7.750  -0.7625   0.02705   0.01777  -0.0206   0.9372   0.3166
  -7.500  -0.7384   0.02652   0.01719  -0.0205   0.9276   0.3247
  -7.250  -0.7041   0.02599   0.01674  -0.0221   0.9221   0.3329
  -7.000  -0.6879   0.02559   0.01628  -0.0203   0.9092   0.3409
  -6.750  -0.6554   0.02511   0.01586  -0.0214   0.9027   0.3489
  -6.500  -0.6371   0.02477   0.01551  -0.0198   0.8906   0.3569
  -6.250  -0.6084   0.02430   0.01503  -0.0201   0.8825   0.3655
  -6.000  -0.5867   0.02399   0.01476  -0.0190   0.8715   0.3733
  -5.750  -0.5624   0.02358   0.01425  -0.0185   0.8617   0.3827
  -5.500  -0.5367   0.02327   0.01404  -0.0180   0.8516   0.3903
  -5.250  -0.5139   0.02294   0.01367  -0.0171   0.8406   0.3993
  -5.000  -0.4874   0.02260   0.01335  -0.0167   0.8311   0.4079
  -4.750  -0.4655   0.02235   0.01311  -0.0155   0.8190   0.4165
  -4.500  -0.4390   0.02201   0.01271  -0.0151   0.8097   0.4260
  -4.250  -0.4170   0.02182   0.01259  -0.0139   0.7968   0.4342
  -4.000  -0.3906   0.02151   0.01217  -0.0135   0.7875   0.4444
  -3.750  -0.3684   0.02135   0.01210  -0.0123   0.7742   0.4525
  -3.500  -0.3412   0.02108   0.01177  -0.0119   0.7646   0.4626
  -3.250  -0.3199   0.02094   0.01166  -0.0106   0.7513   0.4714
  -3.000  -0.2921   0.02072   0.01141  -0.0103   0.7414   0.4812
  -2.750  -0.2716   0.02060   0.01127  -0.0088   0.7280   0.4908
  -2.500  -0.2430   0.02042   0.01109  -0.0086   0.7181   0.5003
  -2.250  -0.2234   0.02032   0.01095  -0.0071   0.7048   0.5109
  -2.000  -0.1941   0.02017   0.01083  -0.0069   0.6947   0.5199
  -1.750  -0.1735   0.02011   0.01076  -0.0055   0.6817   0.5307
  -1.500  -0.1453   0.01999   0.01061  -0.0053   0.6716   0.5403
  -1.250  -0.1238   0.01995   0.01061  -0.0040   0.6589   0.5508
  -1.000  -0.0967   0.01986   0.01047  -0.0035   0.6488   0.5611
  -0.750  -0.0743   0.01985   0.01051  -0.0024   0.6363   0.5715
  -0.500  -0.0483   0.01978   0.01038  -0.0018   0.6263   0.5823
  -0.250  -0.0248   0.01980   0.01046  -0.0008   0.6143   0.5927
   0.000   0.0000   0.01976   0.01035   0.0000   0.6040   0.6040
   0.250   0.0248   0.01980   0.01046   0.0008   0.5927   0.6143
   0.500   0.0483   0.01978   0.01038   0.0018   0.5823   0.6263
   0.750   0.0743   0.01985   0.01051   0.0024   0.5715   0.6363
   1.000   0.0967   0.01986   0.01047   0.0035   0.5611   0.6488
