  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0024                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -13.000  -0.5259   0.10662   0.09635  -0.0411   1.0000   0.2190
 -12.750  -0.5118   0.10559   0.09534  -0.0407   1.0000   0.2222
 -12.250  -0.5463   0.09414   0.08386  -0.0431   1.0000   0.2369
 -12.000  -0.5239   0.09459   0.08435  -0.0419   1.0000   0.2395
 -11.750  -0.5177   0.09265   0.08242  -0.0416   1.0000   0.2445
 -11.250  -0.6611   0.06889   0.05845  -0.0454   1.0000   0.2704
 -11.000  -0.6233   0.07106   0.06072  -0.0437   1.0000   0.2729
 -10.750  -0.7814   0.05514   0.04443  -0.0402   1.0000   0.2864
 -10.500  -0.7266   0.05773   0.04723  -0.0400   1.0000   0.2901
 -10.250  -0.7147   0.05735   0.04692  -0.0382   1.0000   0.2952
 -10.000  -0.8017   0.05083   0.04019  -0.0310   1.0000   0.3024
  -9.750  -0.8143   0.04942   0.03879  -0.0270   1.0000   0.3073
  -9.500  -0.8040   0.04927   0.03874  -0.0245   1.0000   0.3124
  -9.250  -0.8365   0.04745   0.03687  -0.0181   1.0000   0.3176
  -9.000  -0.8906   0.04540   0.03468  -0.0084   1.0000   0.3220
  -8.750  -0.8926   0.04503   0.03438  -0.0043   1.0000   0.3268
  -8.500  -0.8965   0.04471   0.03413   0.0002   1.0000   0.3317
  -8.250  -0.9173   0.04380   0.03317   0.0065   1.0000   0.3371
  -8.000  -0.9189   0.04262   0.03188   0.0094   0.9955   0.3443
  -7.750  -0.8764   0.04260   0.03196   0.0064   0.9886   0.3524
  -7.500  -0.8623   0.04117   0.03031   0.0063   0.9778   0.3626
  -7.250  -0.8176   0.04133   0.03063   0.0033   0.9701   0.3703
  -7.000  -0.7938   0.04036   0.02953   0.0023   0.9604   0.3806
  -6.750  -0.7604   0.04014   0.02939   0.0009   0.9504   0.3886
