  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 2424                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -13.000  -0.4088   0.12127   0.11196  -0.0470   1.0000   0.1800
 -12.750  -0.4096   0.11923   0.10996  -0.0460   1.0000   0.1832
 -12.500  -0.4709   0.10762   0.09833  -0.0494   1.0000   0.1909
 -12.250  -0.4576   0.10811   0.09888  -0.0471   1.0000   0.1927
 -11.750  -0.5468   0.09134   0.08208  -0.0497   1.0000   0.2062
 -11.500  -0.5349   0.09199   0.08281  -0.0472   1.0000   0.2084
 -11.250  -0.7998   0.06275   0.05294  -0.0493   1.0000   0.2193
 -11.000  -0.8248   0.06046   0.05062  -0.0456   1.0000   0.2219
 -10.750  -0.8184   0.06026   0.05052  -0.0431   1.0000   0.2250
 -10.500  -0.8138   0.05795   0.04810  -0.0442   0.9932   0.2301
 -10.250  -0.8447   0.05398   0.04375  -0.0423   0.9828   0.2351
 -10.000  -0.8176   0.05334   0.04315  -0.0436   0.9764   0.2401
  -9.750  -0.7994   0.05250   0.04231  -0.0438   0.9681   0.2453
  -9.500  -0.8094   0.05061   0.04018  -0.0410   0.9580   0.2506
  -9.250  -0.7969   0.04951   0.03899  -0.0404   0.9499   0.2561
  -9.000  -0.7774   0.04906   0.03860  -0.0398   0.9407   0.2613
  -8.750  -0.7697   0.04789   0.03725  -0.0384   0.9327   0.2677
  -8.500  -0.7732   0.04674   0.03596  -0.0346   0.9209   0.2729
  -8.250  -0.7348   0.04647   0.03580  -0.0368   0.9152   0.2797
  -8.000  -0.7356   0.04561   0.03482  -0.0330   0.9035   0.2855
  -7.750  -0.7165   0.04467   0.03376  -0.0326   0.8962   0.2927
  -7.500  -0.7001   0.04437   0.03353  -0.0309   0.8861   0.2985
  -7.250  -0.6865   0.04355   0.03258  -0.0293   0.8773   0.3062
  -7.000  -0.6627   0.04289   0.03189  -0.0292   0.8703   0.3136
  -6.750  -0.6519   0.04259   0.03163  -0.0266   0.8589   0.3199
  -6.500  -0.6332   0.04169   0.03053  -0.0256   0.8520   0.3291
  -6.250  -0.6206   0.04146   0.03039  -0.0232   0.8414   0.3353
  -6.000  -0.5983   0.04103   0.02995  -0.0225   0.8331   0.3436
  -5.750  -0.5705   0.04021   0.02901  -0.0227   0.8277   0.3536
  -5.500  -0.5662   0.04020   0.02909  -0.0189   0.8149   0.3596
  -5.250  -0.5422   0.03959   0.02838  -0.0183   0.8082   0.3698
  -5.000  -0.5276   0.03931   0.02811  -0.0162   0.7988   0.3777
  -4.750  -0.5088   0.03905   0.02789  -0.0147   0.7896   0.3867
  -4.250  -0.4736   0.03848   0.02731  -0.0113   0.7725   0.4053
  -4.000  -0.4532   0.03796   0.02668  -0.0100   0.7652   0.4169
  -3.750  -0.4120   0.03746   0.02629  -0.0118   0.7612   0.4285
  -3.500  -0.4192   0.03769   0.02647  -0.0063   0.7475   0.4369
  -3.250  -0.3871   0.03725   0.02608  -0.0066   0.7418   0.4486
  -3.000  -0.3524   0.03657   0.02533  -0.0073   0.7380   0.4632
  -2.750  -0.3588   0.03713   0.02598  -0.0020   0.7236   0.4706
  -2.500  -0.3285   0.03665   0.02549  -0.0020   0.7185   0.4850
  -2.250  -0.3075   0.03662   0.02552  -0.0007   0.7107   0.4967
  -2.000  -0.3014   0.03675   0.02563   0.0028   0.7000   0.5089
  -1.750  -0.2645   0.03636   0.02532   0.0019   0.6954   0.5238
  -1.500  -0.2570   0.03650   0.02543   0.0051   0.6862   0.5374
  -1.250  -0.2392   0.03667   0.02569   0.0069   0.6770   0.5506
  -1.000  -0.2041   0.03626   0.02530   0.0063   0.6724   0.5675
  -0.750  -0.1928   0.03643   0.02547   0.0090   0.6640   0.5831
  -0.500  -0.1790   0.03681   0.02596   0.0112   0.6542   0.5973
  -0.250  -0.1428   0.03639   0.02556   0.0105   0.6495   0.6161
   0.000  -0.1007   0.03582   0.02499   0.0091   0.6463   0.6369
   0.250  -0.1159   0.03718   0.02647   0.0149   0.6316   0.6491
   0.500  -0.0770   0.03683   0.02616   0.0139   0.6270   0.6692
   0.750  -0.0288   0.03627   0.02562   0.0117   0.6238   0.6909
   1.000  -0.0469   0.03781   0.02727   0.0176   0.6093   0.7060
   1.250   0.0000   0.03756   0.02708   0.0154   0.6048   0.7266
   1.500   0.0575   0.03709   0.02662   0.0117   0.6016   0.7473
   2.000   0.0872   0.03865   0.02830   0.0149   0.5827   0.7858
   2.250   0.1625   0.03824   0.02787   0.0084   0.5795   0.8024
   2.750   0.2018   0.04010   0.02982   0.0095   0.5608   0.8386
   3.000   0.2902   0.03954   0.02919   0.0010   0.5574   0.8490
   3.250   0.2821   0.04165   0.03141   0.0043   0.5445   0.8668
   3.500   0.3404   0.04159   0.03130   0.0000   0.5388   0.8792
   3.750   0.4115   0.04086   0.03048  -0.0057   0.5350   0.8906
   4.000   0.3959   0.04341   0.03314  -0.0018   0.5219   0.9087
   4.250   0.4606   0.04304   0.03272  -0.0072   0.5162   0.9179
   4.500   0.5299   0.04204   0.03160  -0.0125   0.5124   0.9296
   4.750   0.5113   0.04503   0.03474  -0.0092   0.4987   0.9473
   5.000   0.5752   0.04427   0.03391  -0.0143   0.4934   0.9576
   5.250   0.6552   0.04286   0.03236  -0.0212   0.4896   0.9659
   5.500   0.6299   0.04638   0.03608  -0.0181   0.4754   0.9839
   5.750   0.7022   0.04504   0.03464  -0.0241   0.4706   0.9920
   6.000   0.6806   0.04772   0.03741  -0.0207   0.4598   1.0000
   6.250   0.6639   0.04875   0.03840  -0.0156   0.4524   1.0000
   6.500   0.6953   0.04763   0.03716  -0.0150   0.4486   1.0000
   7.000   0.6192   0.05296   0.04248  -0.0023   0.4296   1.0000
   7.250   0.6569   0.05146   0.04087  -0.0018   0.4269   1.0000
   7.750   0.6044   0.05715   0.04654   0.0069   0.4076   1.0000
   8.250   0.5702   0.06294   0.05230   0.0126   0.3886   1.0000
   8.500   0.6043   0.06150   0.05078   0.0137   0.3865   1.0000
   9.000   0.5163   0.07414   0.06349   0.0181   0.3578   1.0000
   9.250   0.5273   0.07503   0.06435   0.0195   0.3523   1.0000
   9.500   0.5516   0.07444   0.06371   0.0209   0.3494   1.0000
  10.000   0.5332   0.08113   0.07039   0.0229   0.3319   1.0000
  10.250   0.5467   0.08190   0.07114   0.0241   0.3276   1.0000
  10.750   0.5414   0.08744   0.07668   0.0256   0.3125   1.0000
  11.250   0.5251   0.09471   0.08396   0.0264   0.2964   1.0000
  11.750   0.5106   0.10211   0.09138   0.0266   0.2816   1.0000
  12.000   0.5315   0.10214   0.09139   0.0276   0.2783   1.0000
  12.500   0.5156   0.11009   0.09937   0.0272   0.2638   1.0000
  12.750   0.5379   0.10997   0.09923   0.0282   0.2609   1.0000
  13.000   0.5095   0.11697   0.10627   0.0268   0.2512   1.0000
  13.250   0.5218   0.11824   0.10754   0.0272   0.2469   1.0000
  13.500   0.5437   0.11821   0.10750   0.0281   0.2444   1.0000
  14.000   0.5269   0.12692   0.11625   0.0265   0.2310   1.0000
  14.250   0.5487   0.12690   0.11621   0.0274   0.2286   1.0000
  14.750   0.5315   0.13600   0.12537   0.0252   0.2160   1.0000
  15.000   0.5517   0.13623   0.12558   0.0259   0.2137   1.0000
