  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 2424                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -16.500  -0.7981   0.08182   0.07387  -0.0787   1.0000   0.1304
 -16.250  -0.7747   0.08276   0.07496  -0.0771   1.0000   0.1319
 -16.000  -0.7786   0.08010   0.07231  -0.0770   1.0000   0.1341
 -15.750  -0.8126   0.07374   0.06578  -0.0784   1.0000   0.1365
 -15.500  -0.8505   0.06745   0.05927  -0.0794   1.0000   0.1389
 -15.250  -0.8764   0.06299   0.05463  -0.0792   1.0000   0.1411
 -15.000  -0.8722   0.06185   0.05357  -0.0780   1.0000   0.1430
 -14.750  -0.8783   0.05980   0.05152  -0.0768   1.0000   0.1451
 -14.500  -0.8915   0.05723   0.04888  -0.0754   1.0000   0.1474
 -14.250  -0.9077   0.05457   0.04610  -0.0737   1.0000   0.1496
 -14.000  -0.9285   0.05180   0.04316  -0.0716   1.0000   0.1520
 -13.750  -0.9287   0.05077   0.04220  -0.0695   1.0000   0.1539
 -13.500  -0.9346   0.04944   0.04088  -0.0671   1.0000   0.1559
 -13.250  -0.9445   0.04795   0.03936  -0.0644   1.0000   0.1582
 -13.000  -0.9414   0.04606   0.03735  -0.0643   0.9975   0.1616
 -12.750  -0.9263   0.04439   0.03558  -0.0658   0.9928   0.1651
 -12.500  -0.9074   0.04321   0.03443  -0.0669   0.9881   0.1684
 -12.250  -0.8917   0.04183   0.03298  -0.0679   0.9826   0.1723
 -12.000  -0.8769   0.04031   0.03127  -0.0690   0.9781   0.1768
 -11.750  -0.8599   0.03938   0.03042  -0.0690   0.9714   0.1800
 -11.500  -0.8408   0.03836   0.02936  -0.0697   0.9661   0.1843
 -11.250  -0.8284   0.03722   0.02810  -0.0693   0.9590   0.1887
 -10.750  -0.7881   0.03548   0.02635  -0.0700   0.9475   0.1972
 -10.500  -0.7771   0.03463   0.02542  -0.0685   0.9385   0.2017
 -10.250  -0.7534   0.03377   0.02451  -0.0692   0.9337   0.2068
 -10.000  -0.7422   0.03315   0.02391  -0.0672   0.9245   0.2108
  -9.750  -0.7213   0.03240   0.02311  -0.0671   0.9183   0.2162
  -9.500  -0.6939   0.03161   0.02226  -0.0680   0.9144   0.2221
  -9.250  -0.6884   0.03117   0.02185  -0.0647   0.9029   0.2260
  -9.000  -0.6644   0.03050   0.02112  -0.0647   0.8976   0.2321
  -8.750  -0.6352   0.02976   0.02034  -0.0655   0.8942   0.2384
  -8.500  -0.6339   0.02948   0.02009  -0.0611   0.8814   0.2422
  -8.250  -0.6093   0.02886   0.01942  -0.0609   0.8762   0.2490
  -8.000  -0.5780   0.02817   0.01870  -0.0619   0.8728   0.2559
  -7.750  -0.5800   0.02801   0.01856  -0.0566   0.8592   0.2599
  -7.500  -0.5542   0.02744   0.01794  -0.0564   0.8538   0.2673
  -7.250  -0.5204   0.02680   0.01729  -0.0577   0.8503   0.2748
  -7.000  -0.5253   0.02671   0.01722  -0.0517   0.8364   0.2791
  -6.750  -0.4970   0.02616   0.01660  -0.0518   0.8309   0.2873
  -6.500  -0.4591   0.02553   0.01599  -0.0538   0.8274   0.2953
  -6.250  -0.4639   0.02547   0.01594  -0.0477   0.8134   0.3003
  -6.000  -0.4323   0.02493   0.01530  -0.0484   0.8080   0.3095
  -5.750  -0.4129   0.02460   0.01505  -0.0468   0.7997   0.3162
  -5.500  -0.3978   0.02432   0.01475  -0.0443   0.7901   0.3237
  -5.250  -0.3608   0.02379   0.01419  -0.0460   0.7849   0.3333
  -5.000  -0.3514   0.02362   0.01406  -0.0424   0.7743   0.3399
  -4.750  -0.3268   0.02327   0.01365  -0.0417   0.7663   0.3495
  -4.500  -0.2840   0.02276   0.01318  -0.0444   0.7612   0.3596
  -4.250  -0.2837   0.02272   0.01313  -0.0391   0.7492   0.3666
  -4.000  -0.2513   0.02235   0.01274  -0.0398   0.7420   0.3769
  -3.750  -0.2216   0.02205   0.01246  -0.0400   0.7346   0.3871
  -3.500  -0.2137   0.02196   0.01232  -0.0361   0.7239   0.3960
