  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 2424                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -19.250  -0.8921   0.09558   0.08919  -0.0755   1.0000   0.0919
 -19.000  -0.9036   0.09126   0.08475  -0.0768   1.0000   0.0935
 -18.750  -0.9124   0.08742   0.08082  -0.0779   1.0000   0.0949
 -18.500  -0.9133   0.08483   0.07825  -0.0782   1.0000   0.0963
 -18.250  -0.9176   0.08176   0.07516  -0.0788   1.0000   0.0976
 -18.000  -0.9238   0.07848   0.07181  -0.0794   1.0000   0.0992
 -17.750  -0.9307   0.07518   0.06843  -0.0799   1.0000   0.1009
 -17.500  -0.9375   0.07195   0.06507  -0.0803   1.0000   0.1025
 -17.250  -0.9400   0.06947   0.06261  -0.0803   1.0000   0.1039
 -17.000  -0.9445   0.06677   0.05990  -0.0802   1.0000   0.1053
 -16.750  -0.9497   0.06405   0.05713  -0.0801   1.0000   0.1071
 -16.500  -0.9549   0.06143   0.05445  -0.0798   1.0000   0.1090
 -16.250  -0.9594   0.05898   0.05190  -0.0794   1.0000   0.1107
 -16.000  -0.9637   0.05674   0.04965  -0.0786   1.0000   0.1122
 -15.750  -0.9688   0.05455   0.04746  -0.0777   1.0000   0.1137
 -15.500  -0.9743   0.05241   0.04530  -0.0766   1.0000   0.1154
 -15.250  -0.9797   0.05042   0.04325  -0.0753   1.0000   0.1173
 -15.000  -0.9844   0.04862   0.04138  -0.0738   1.0000   0.1192
 -14.750  -0.9701   0.04649   0.03920  -0.0758   0.9978   0.1215
 -14.500  -0.9567   0.04436   0.03706  -0.0777   0.9949   0.1240
 -14.250  -0.9411   0.04255   0.03519  -0.0796   0.9920   0.1268
 -14.000  -0.9258   0.04084   0.03338  -0.0808   0.9887   0.1298
 -13.750  -0.9127   0.03906   0.03161  -0.0819   0.9849   0.1323
 -13.500  -0.8964   0.03748   0.03000  -0.0833   0.9815   0.1352
 -13.250  -0.8764   0.03610   0.02855  -0.0850   0.9788   0.1385
 -13.000  -0.8630   0.03475   0.02715  -0.0851   0.9735   0.1415
 -12.750  -0.8484   0.03335   0.02576  -0.0857   0.9686   0.1445
 -12.500  -0.8280   0.03216   0.02452  -0.0869   0.9653   0.1481
 -12.250  -0.8131   0.03113   0.02342  -0.0865   0.9591   0.1516
 -12.000  -0.7974   0.02998   0.02228  -0.0867   0.9536   0.1546
 -11.750  -0.7753   0.02893   0.02121  -0.0877   0.9500   0.1585
 -11.500  -0.7617   0.02807   0.02030  -0.0867   0.9426   0.1623
 -11.250  -0.7423   0.02716   0.01937  -0.0868   0.9372   0.1659
 -11.000  -0.7189   0.02622   0.01843  -0.0876   0.9337   0.1702
 -10.750  -0.7044   0.02551   0.01768  -0.0864   0.9259   0.1743
 -10.500  -0.6837   0.02475   0.01689  -0.0862   0.9203   0.1783
 -10.250  -0.6590   0.02392   0.01607  -0.0869   0.9165   0.1828
 -10.000  -0.6367   0.02328   0.01539  -0.0868   0.9110   0.1878
  -9.750  -0.6186   0.02270   0.01479  -0.0858   0.9031   0.1920
  -9.500  -0.5921   0.02200   0.01410  -0.0865   0.8984   0.1972
  -9.250  -0.5575   0.02139   0.01344  -0.0885   0.8951   0.2031
  -9.000  -0.5429   0.02095   0.01299  -0.0867   0.8852   0.2075
  -8.750  -0.5155   0.02039   0.01245  -0.0873   0.8786   0.2132
  -8.500  -0.4759   0.01988   0.01187  -0.0901   0.8743   0.2199
  -8.250  -0.4580   0.01946   0.01148  -0.0888   0.8646   0.2248
  -8.000  -0.4274   0.01903   0.01103  -0.0898   0.8566   0.2314
  -7.750  -0.3840   0.01857   0.01053  -0.0933   0.8511   0.2385
  -7.500  -0.3700   0.01827   0.01025  -0.0910   0.8395   0.2440
  -7.250  -0.3375   0.01792   0.00985  -0.0923   0.8310   0.2515
  -7.000  -0.3160   0.01762   0.00954  -0.0913   0.8210   0.2574
  -6.750  -0.2941   0.01734   0.00924  -0.0904   0.8101   0.2644
  -6.500  -0.2686   0.01711   0.00894  -0.0901   0.8000   0.2712
  -6.250  -0.2522   0.01686   0.00870  -0.0880   0.7886   0.2773
  -6.000  -0.2308   0.01664   0.00845  -0.0869   0.7781   0.2846
  -5.750  -0.2127   0.01649   0.00823  -0.0849   0.7666   0.2912
  -5.500  -0.1950   0.01627   0.00802  -0.0830   0.7562   0.2980
  -5.250  -0.1803   0.01613   0.00785  -0.0804   0.7448   0.3052
  -5.000  -0.1608   0.01599   0.00764  -0.0788   0.7346   0.3121
  -4.750  -0.1500   0.01586   0.00752  -0.0753   0.7232   0.3190
  -4.500  -0.1309   0.01574   0.00734  -0.0735   0.7133   0.3269
  -4.250  -0.1206   0.01567   0.00725  -0.0699   0.7023   0.3334
  -4.000  -0.1044   0.01555   0.00710  -0.0675   0.6926   0.3412
  -3.750  -0.0956   0.01550   0.00704  -0.0636   0.6822   0.3486
  -3.500  -0.0815   0.01543   0.00693  -0.0607   0.6722   0.3560
  -3.250  -0.0693   0.01535   0.00686  -0.0575   0.6631   0.3641
  -3.000  -0.0554   0.01531   0.00677  -0.0545   0.6529   0.3724
  -2.750  -0.0400   0.01523   0.00668  -0.0519   0.6443   0.3809
  -2.500  -0.0292   0.01518   0.00664  -0.0484   0.6349   0.3896
  -2.250  -0.0132   0.01513   0.00656  -0.0459   0.6262   0.3987
  -2.000  -0.0009   0.01507   0.00652  -0.0426   0.6177   0.4081
  -1.750   0.0122   0.01504   0.00647  -0.0395   0.6087   0.4180
  -1.500   0.0273   0.01498   0.00640  -0.0368   0.6008   0.4283
  -1.250   0.0368   0.01494   0.00638  -0.0330   0.5927   0.4386
  -1.000   0.0483   0.01488   0.00635  -0.0295   0.5847   0.4491
  -0.750   0.0649   0.01487   0.00630  -0.0271   0.5775   0.4615
  -0.500   0.0744   0.01481   0.00632  -0.0233   0.5700   0.4729
  -0.250   0.0875   0.01480   0.00630  -0.0202   0.5621   0.4855
   0.500   0.1282   0.01477   0.00637  -0.0112   0.5409   0.5261
   0.750   0.1445   0.01480   0.00638  -0.0087   0.5343   0.5401
   1.000   0.1574   0.01481   0.00645  -0.0056   0.5276   0.5551
   1.250   0.1707   0.01483   0.00652  -0.0026   0.5205   0.5695
   1.750   0.2019   0.01490   0.00665   0.0025   0.5080   0.6006
   2.000   0.2152   0.01494   0.00675   0.0055   0.5009   0.6161
   2.250   0.2305   0.01500   0.00683   0.0081   0.4945   0.6327
   2.500   0.2479   0.01506   0.00691   0.0102   0.4886   0.6490
   2.750   0.2619   0.01512   0.00706   0.0130   0.4818   0.6654
   3.000   0.2776   0.01519   0.00718   0.0155   0.4752   0.6831
   3.250   0.2958   0.01527   0.00729   0.0174   0.4690   0.7013
   3.500   0.3130   0.01535   0.00747   0.0195   0.4626   0.7199
   3.750   0.3310   0.01545   0.00765   0.0214   0.4558   0.7400
   4.000   0.3529   0.01558   0.00781   0.0225   0.4495   0.7609
   4.250   0.3788   0.01572   0.00804   0.0228   0.4430   0.7828
   4.500   0.4085   0.01591   0.00832   0.0222   0.4356   0.8047
   4.750   0.4454   0.01615   0.00858   0.0201   0.4281   0.8259
   5.000   0.4887   0.01645   0.00894   0.0167   0.4206   0.8459
   5.250   0.5324   0.01678   0.00931   0.0131   0.4123   0.8640
   5.500   0.5862   0.01721   0.00971   0.0075   0.4046   0.8769
   5.750   0.6264   0.01761   0.01015   0.0046   0.3960   0.8901
   6.000   0.6660   0.01807   0.01059   0.0018   0.3882   0.9005
   6.250   0.6985   0.01850   0.01103   0.0005   0.3810   0.9110
   6.500   0.7326   0.01899   0.01153  -0.0012   0.3732   0.9198
   6.750   0.7585   0.01949   0.01196  -0.0013   0.3664   0.9306
   7.000   0.7862   0.01997   0.01249  -0.0018   0.3592   0.9403
   7.250   0.8100   0.02049   0.01298  -0.0017   0.3519   0.9506
   7.500   0.8307   0.02104   0.01350  -0.0011   0.3453   0.9623
   7.750   0.8599   0.02157   0.01405  -0.0022   0.3377   0.9693
   8.000   0.8826   0.02222   0.01465  -0.0022   0.3307   0.9782
   8.250   0.9128   0.02275   0.01520  -0.0036   0.3236   0.9836
   8.500   0.9393   0.02343   0.01586  -0.0045   0.3160   0.9897
   8.750   0.9673   0.02411   0.01650  -0.0059   0.3091   0.9951
   9.000   0.9978   0.02478   0.01719  -0.0077   0.3010   0.9993
   9.250   1.0040   0.02541   0.01777  -0.0051   0.2952   1.0000
   9.500   1.0071   0.02597   0.01833  -0.0018   0.2899   1.0000
   9.750   1.0101   0.02661   0.01898   0.0014   0.2838   1.0000
  10.000   1.0129   0.02735   0.01968   0.0045   0.2784   1.0000
  10.250   1.0176   0.02809   0.02042   0.0073   0.2733   1.0000
  10.500   1.0227   0.02888   0.02121   0.0098   0.2673   1.0000
  10.750   1.0258   0.02981   0.02211   0.0125   0.2619   1.0000
  11.000   1.0312   0.03071   0.02302   0.0148   0.2565   1.0000
